´úÂë,¼ò³Æ,ÈÕÆÚ,ÊÕÅÌ¼Û(Ôª),
600439.SH,Èð±´¿¨,20040625,1.0117,
600439.SH,Èð±´¿¨,20040628,0.9637,
600439.SH,Èð±´¿¨,20040629,0.9644,
600439.SH,Èð±´¿¨,20040630,0.9615,
600439.SH,Èð±´¿¨,20040701,0.9903,
600439.SH,Èð±´¿¨,20040702,0.9777,
600439.SH,Èð±´¿¨,20040705,0.9726,
600439.SH,Èð±´¿¨,20040706,0.9755,
600439.SH,Èð±´¿¨,20040707,0.9762,
600439.SH,Èð±´¿¨,20040708,0.9667,
600439.SH,Èð±´¿¨,20040709,0.9711,
600439.SH,Èð±´¿¨,20040712,0.9364,
600439.SH,Èð±´¿¨,20040713,0.9246,
600439.SH,Èð±´¿¨,20040714,0.8995,
600439.SH,Èð±´¿¨,20040715,0.8818,
600439.SH,Èð±´¿¨,20040716,0.9091,
600439.SH,Èð±´¿¨,20040719,0.9091,
600439.SH,Èð±´¿¨,20040720,0.9069,
600439.SH,Èð±´¿¨,20040721,0.9076,
600439.SH,Èð±´¿¨,20040722,0.9187,
600439.SH,Èð±´¿¨,20040723,0.9216,
600439.SH,Èð±´¿¨,20040726,0.9002,
600439.SH,Èð±´¿¨,20040727,0.8988,
600439.SH,Èð±´¿¨,20040728,0.9025,
600439.SH,Èð±´¿¨,20040729,0.9357,
600439.SH,Èð±´¿¨,20040730,0.9239,
600439.SH,Èð±´¿¨,20040802,0.9342,
600439.SH,Èð±´¿¨,20040803,0.9453,
600439.SH,Èð±´¿¨,20040804,0.9667,
600439.SH,Èð±´¿¨,20040805,0.9541,
600439.SH,Èð±´¿¨,20040806,0.9556,
600439.SH,Èð±´¿¨,20040809,0.9453,
600439.SH,Èð±´¿¨,20040810,0.9585,
600439.SH,Èð±´¿¨,20040811,0.9519,
600439.SH,Èð±´¿¨,20040812,0.9445,
600439.SH,Èð±´¿¨,20040813,0.9534,
600439.SH,Èð±´¿¨,20040816,0.9497,
600439.SH,Èð±´¿¨,20040817,0.9482,
600439.SH,Èð±´¿¨,20040818,0.9371,
600439.SH,Èð±´¿¨,20040819,0.9002,
600439.SH,Èð±´¿¨,20040820,0.9209,
600439.SH,Èð±´¿¨,20040823,0.8929,
600439.SH,Èð±´¿¨,20040824,0.9165,
600439.SH,Èð±´¿¨,20040825,0.9039,
600439.SH,Èð±´¿¨,20040826,0.9069,
600439.SH,Èð±´¿¨,20040827,0.9098,
600439.SH,Èð±´¿¨,20040830,0.9098,
600439.SH,Èð±´¿¨,20040831,0.915,
600439.SH,Èð±´¿¨,20040901,0.9121,
600439.SH,Èð±´¿¨,20040902,0.9231,
600439.SH,Èð±´¿¨,20040903,0.9121,
600439.SH,Èð±´¿¨,20040906,0.915,
600439.SH,Èð±´¿¨,20040907,0.9135,
600439.SH,Èð±´¿¨,20040908,0.901,
600439.SH,Èð±´¿¨,20040909,0.8752,
600439.SH,Èð±´¿¨,20040910,0.8744,
600439.SH,Èð±´¿¨,20040913,0.8744,
600439.SH,Èð±´¿¨,20040914,0.898,
600439.SH,Èð±´¿¨,20040915,0.9416,
600439.SH,Èð±´¿¨,20040916,0.9711,
600439.SH,Èð±´¿¨,20040917,0.9777,
600439.SH,Èð±´¿¨,20040920,0.994,
600439.SH,Èð±´¿¨,20040921,0.9829,
600439.SH,Èð±´¿¨,20040922,0.9932,
600439.SH,Èð±´¿¨,20040923,1.0213,
600439.SH,Èð±´¿¨,20040924,1.0213,
600439.SH,Èð±´¿¨,20040927,1.0205,
600439.SH,Èð±´¿¨,20040928,1.0146,
600439.SH,Èð±´¿¨,20040929,1.0131,
600439.SH,Èð±´¿¨,20040930,1.008,
600439.SH,Èð±´¿¨,20041008,1.0508,
600439.SH,Èð±´¿¨,20041011,1.0331,
600439.SH,Èð±´¿¨,20041012,1.0464,
600439.SH,Èð±´¿¨,20041013,1.0353,
600439.SH,Èð±´¿¨,20041014,0.9858,
600439.SH,Èð±´¿¨,20041015,0.9925,
600439.SH,Èð±´¿¨,20041018,0.9932,
600439.SH,Èð±´¿¨,20041019,0.994,
600439.SH,Èð±´¿¨,20041020,0.9792,
600439.SH,Èð±´¿¨,20041021,0.9681,
600439.SH,Èð±´¿¨,20041022,1.05,
600439.SH,Èð±´¿¨,20041025,1.0766,
600439.SH,Èð±´¿¨,20041026,1.0965,
600439.SH,Èð±´¿¨,20041027,1.1135,
600439.SH,Èð±´¿¨,20041028,1.0832,
600439.SH,Èð±´¿¨,20041029,1.0914,
600439.SH,Èð±´¿¨,20041101,1.0788,
