旗鷹,酒各,晩豚,辺徒勺(圷),
002517.SZ,磊哂利大,20120712,4.7676,
002517.SZ,磊哂利大,20120713,4.6483,
002517.SZ,磊哂利大,20120716,4.3252,
002517.SZ,磊哂利大,20120717,4.4693,
002517.SZ,磊哂利大,20120718,4.4644,
002517.SZ,磊哂利大,20120719,4.5936,
002517.SZ,磊哂利大,20120720,4.4644,
002517.SZ,磊哂利大,20120723,4.4693,
002517.SZ,磊哂利大,20120724,4.4594,
002517.SZ,磊哂利大,20120725,4.4544,
002517.SZ,磊哂利大,20120726,4.5638,
002517.SZ,磊哂利大,20120727,4.4246,
002517.SZ,磊哂利大,20120730,4.0766,
002517.SZ,磊哂利大,20120731,3.9374,
002517.SZ,磊哂利大,20120801,4.012,
002517.SZ,磊哂利大,20120802,3.9076,
002517.SZ,磊哂利大,20120803,4.002,
002517.SZ,磊哂利大,20120806,4.1263,
002517.SZ,磊哂利大,20120807,4.2953,
002517.SZ,磊哂利大,20120808,4.2506,
002517.SZ,磊哂利大,20120809,4.4743,
002517.SZ,磊哂利大,20120810,4.8074,
002517.SZ,磊哂利大,20120813,4.4395,
002517.SZ,磊哂利大,20120814,4.4395,
002517.SZ,磊哂利大,20120815,4.4594,
002517.SZ,磊哂利大,20120816,4.35,
002517.SZ,磊哂利大,20120817,4.2953,
002517.SZ,磊哂利大,20120820,4.4693,
002517.SZ,磊哂利大,20120821,4.5439,
002517.SZ,磊哂利大,20120822,4.4246,
002517.SZ,磊哂利大,20120823,4.5538,
002517.SZ,磊哂利大,20120824,4.3898,
002517.SZ,磊哂利大,20120827,4.1263,
002517.SZ,磊哂利大,20120828,4.1561,
002517.SZ,磊哂利大,20120829,4.0766,
002517.SZ,磊哂利大,20120830,4.007,
002517.SZ,磊哂利大,20120831,4.0368,
002517.SZ,磊哂利大,20120903,4.1213,
002517.SZ,磊哂利大,20120904,4.1412,
002517.SZ,磊哂利大,20120905,4.176,
002517.SZ,磊哂利大,20120906,4.2754,
002517.SZ,磊哂利大,20120907,4.4594,
002517.SZ,磊哂利大,20120910,4.4594,
002517.SZ,磊哂利大,20120911,4.4445,
002517.SZ,磊哂利大,20120912,4.524,
002517.SZ,磊哂利大,20120913,4.3898,
002517.SZ,磊哂利大,20120914,4.4246,
002517.SZ,磊哂利大,20120917,4.1611,
002517.SZ,磊哂利大,20120918,4.2058,
002517.SZ,磊哂利大,20120919,4.2357,
002517.SZ,磊哂利大,20120920,4.0567,
002517.SZ,磊哂利大,20120921,4.0169,
002517.SZ,磊哂利大,20120924,4.0965,
002517.SZ,磊哂利大,20120925,4.0965,
002517.SZ,磊哂利大,20120926,3.9772,
002517.SZ,磊哂利大,20120927,4.0517,
002517.SZ,磊哂利大,20120928,4.1213,
002517.SZ,磊哂利大,20121008,4.1462,
002517.SZ,磊哂利大,20121009,4.2754,
002517.SZ,磊哂利大,20121010,4.3301,
002517.SZ,磊哂利大,20121011,4.1959,
002517.SZ,磊哂利大,20121012,4.2406,
002517.SZ,磊哂利大,20121015,4.1561,
002517.SZ,磊哂利大,20121016,4.5737,
002517.SZ,磊哂利大,20121017,4.5837,
002517.SZ,磊哂利大,20121018,4.6085,
002517.SZ,磊哂利大,20121019,4.7676,
002517.SZ,磊哂利大,20121022,4.7129,
002517.SZ,磊哂利大,20121023,4.5439,
002517.SZ,磊哂利大,20121024,4.4445,
002517.SZ,磊哂利大,20121025,4.3749,
002517.SZ,磊哂利大,20121026,4.5986,
002517.SZ,磊哂利大,20121029,4.519,
002517.SZ,磊哂利大,20121030,4.4494,
002517.SZ,磊哂利大,20121031,4.5141,
002517.SZ,磊哂利大,20121101,4.6036,
002517.SZ,磊哂利大,20121102,4.5489,
002517.SZ,磊哂利大,20121105,4.5489,
002517.SZ,磊哂利大,20121106,4.4594,
002517.SZ,磊哂利大,20121107,4.3997,
002517.SZ,磊哂利大,20121108,4.1164,
002517.SZ,磊哂利大,20121109,4.0816,
002517.SZ,磊哂利大,20121112,4.1462,
002517.SZ,磊哂利大,20121113,4.0716,
002517.SZ,磊哂利大,20121114,4.0915,
002517.SZ,磊哂利大,20121115,3.9225,
002517.SZ,磊哂利大,20121116,3.9225,
002517.SZ,磊哂利大,20121119,3.9424,
002517.SZ,磊哂利大,20121120,4.002,
002517.SZ,磊哂利大,20121121,4.0617,
002517.SZ,磊哂利大,20121122,3.9921,
002517.SZ,磊哂利大,20121123,3.9424,
002517.SZ,磊哂利大,20121126,3.9026,
002517.SZ,磊哂利大,20121127,3.6689,
002517.SZ,磊哂利大,20121128,3.5297,
002517.SZ,磊哂利大,20121129,3.4601,
002517.SZ,磊哂利大,20121130,3.49,
002517.SZ,磊哂利大,20121203,3.3309,
002517.SZ,磊哂利大,20121204,3.3657,
