ґъВл,јтіЖ,ИХЖЪ,КХЕМјЫ(ФЄ),
603003.SH,БъУоИјУН,20130808,8.0312,
603003.SH,БъУоИјУН,20130809,8.281,
603003.SH,БъУоИјУН,20130812,8.4408,
603003.SH,БъУоИјУН,20130813,8.4008,
603003.SH,БъУоИјУН,20130814,8.1811,
603003.SH,БъУоИјУН,20130815,8.0812,
603003.SH,БъУоИјУН,20130816,7.8614,
603003.SH,БъУоИјУН,20130819,7.9513,
603003.SH,БъУоИјУН,20130820,7.8914,
603003.SH,БъУоИјУН,20130821,7.8914,
603003.SH,БъУоИјУН,20130822,7.8314,
603003.SH,БъУоИјУН,20130823,7.8714,
603003.SH,БъУоИјУН,20130826,8.6605,
603003.SH,БъУоИјУН,20130827,9.19,
603003.SH,БъУоИјУН,20130828,9.5995,
603003.SH,БъУоИјУН,20130829,10.5585,
603003.SH,БъУоИјУН,20130830,10.7583,
603003.SH,БъУоИјУН,20130902,9.6794,
603003.SH,БъУоИјУН,20130903,9.9791,
603003.SH,БъУоИјУН,20130904,9.8093,
603003.SH,БъУоИјУН,20130905,9.4996,
603003.SH,БъУоИјУН,20130906,10.119,
603003.SH,БъУоИјУН,20130909,10.2688,
603003.SH,БъУоИјУН,20130910,11.2977,
603003.SH,БъУоИјУН,20130911,10.8981,
603003.SH,БъУоИјУН,20130912,11.7472,
603003.SH,БъУоИјУН,20130913,11.2677,
603003.SH,БъУоИјУН,20130916,11.1678,
603003.SH,БъУоИјУН,20130917,10.3087,
603003.SH,БъУоИјУН,20130918,10.6284,
603003.SH,БъУоИјУН,20130923,10.8681,
603003.SH,БъУоИјУН,20130924,11.0779,
603003.SH,БъУоИјУН,20130925,11.1878,
603003.SH,БъУоИјУН,20130926,10.2688,
603003.SH,БъУоИјУН,20130927,9.7593,
603003.SH,БъУоИјУН,20130930,10.119,
603003.SH,БъУоИјУН,20131008,10.5085,
603003.SH,БъУоИјУН,20131009,11.4075,
603003.SH,БъУоИјУН,20131010,10.978,
603003.SH,БъУоИјУН,20131011,12.0768,
603003.SH,БъУоИјУН,20131014,12.9259,
603003.SH,БъУоИјУН,20131015,12.4364,
603003.SH,БъУоИјУН,20131016,11.8271,
603003.SH,БъУоИјУН,20131017,11.917,
603003.SH,БъУоИјУН,20131018,11.7072,
603003.SH,БъУоИјУН,20131021,11.9769,
603003.SH,БъУоИјУН,20131022,11.927,
603003.SH,БъУоИјУН,20131023,11.3876,
603003.SH,БъУоИјУН,20131024,11.2078,
603003.SH,БъУоИјУН,20131025,11.5973,
603003.SH,БъУоИјУН,20131028,11.8371,
603003.SH,БъУоИјУН,20131029,12.6362,
603003.SH,БъУоИјУН,20131030,12.4864,
603003.SH,БъУоИјУН,20131031,11.2377,
603003.SH,БъУоИјУН,20131101,10.1889,
603003.SH,БъУоИјУН,20131104,10.5485,
603003.SH,БъУоИјУН,20131105,10.988,
603003.SH,БъУоИјУН,20131106,11.0979,
603003.SH,БъУоИјУН,20131107,10.5285,
603003.SH,БъУоИјУН,20131108,10.4586,
603003.SH,БъУоИјУН,20131111,10.5884,
603003.SH,БъУоИјУН,20131112,10.3587,
603003.SH,БъУоИјУН,20131113,9.4497,
603003.SH,БъУоИјУН,20131114,9.6495,
603003.SH,БъУоИјУН,20131115,9.8393,
603003.SH,БъУоИјУН,20131118,10.3187,
603003.SH,БъУоИјУН,20131119,10.7383,
603003.SH,БъУоИјУН,20131120,10.6084,
603003.SH,БъУоИјУН,20131121,10.7782,
603003.SH,БъУоИјУН,20131122,10.7682,
603003.SH,БъУоИјУН,20131125,10.5385,
603003.SH,БъУоИјУН,20131126,10.6184,
603003.SH,БъУоИјУН,20131127,10.6983,
603003.SH,БъУоИјУН,20131128,10.7483,
603003.SH,БъУоИјУН,20131129,10.5685,
603003.SH,БъУоИјУН,20131202,9.7094,
603003.SH,БъУоИјУН,20131203,10.0191,
603003.SH,БъУоИјУН,20131204,10.2788,
603003.SH,БъУоИјУН,20131205,10.7083,
603003.SH,БъУоИјУН,20131206,11.0679,
603003.SH,БъУоИјУН,20131209,10.998,
603003.SH,БъУоИјУН,20131210,10.8681,
603003.SH,БъУоИјУН,20131211,10.7283,
603003.SH,БъУоИјУН,20131212,10.7882,
603003.SH,БъУоИјУН,20131213,10.6983,
603003.SH,БъУоИјУН,20131216,10.3587,
603003.SH,БъУоИјУН,20131217,10.4186,
603003.SH,БъУоИјУН,20131218,10.2188,
603003.SH,БъУоИјУН,20131219,10.069,
603003.SH,БъУоИјУН,20131220,10.119,
603003.SH,БъУоИјУН,20131223,9.8592,
603003.SH,БъУоИјУН,20131224,9.8393,
603003.SH,БъУоИјУН,20131225,9.9991,
603003.SH,БъУоИјУН,20131226,9.8393,
603003.SH,БъУоИјУН,20131227,9.9391,
603003.SH,БъУоИјУН,20131230,10.069,
603003.SH,БъУоИјУН,20131231,10.1389,
603003.SH,БъУоИјУН,20140102,10.1389,
603003.SH,БъУоИјУН,20140103,9.9192,
603003.SH,БъУоИјУН,20140106,9.15,
603003.SH,БъУоИјУН,20140107,9.2899,
603003.SH,БъУоИјУН,20140108,9.8692,
603003.SH,БъУоИјУН,20140109,10.059,
603003.SH,БъУоИјУН,20140110,9.5596,
603003.SH,БъУоИјУН,20140113,9.2998,
603003.SH,БъУоИјУН,20140114,9.5795,
603003.SH,БъУоИјУН,20140115,9.4896,
603003.SH,БъУоИјУН,20140116,9.3997,
603003.SH,БъУоИјУН,20140117,9.17,
603003.SH,БъУоИјУН,20140120,9.0801,
603003.SH,БъУоИјУН,20140121,9.4197,
603003.SH,БъУоИјУН,20140122,9.6794,
603003.SH,БъУоИјУН,20140123,9.6495,
603003.SH,БъУоИјУН,20140124,9.6994,
603003.SH,БъУоИјУН,20140127,9.4497,
603003.SH,БъУоИјУН,20140128,9.6195,
603003.SH,БъУоИјУН,20140129,9.4597,
603003.SH,БъУоИјУН,20140130,9.2998,
603003.SH,БъУоИјУН,20140207,9.3598,
603003.SH,БъУоИјУН,20140210,9.6395,
603003.SH,БъУоИјУН,20140211,10.6084,
603003.SH,БъУоИјУН,20140212,10.8881,
603003.SH,БъУоИјУН,20140213,10.5685,
603003.SH,БъУоИјУН,20140214,10.7483,
603003.SH,БъУоИјУН,20140217,10.9381,
603003.SH,БъУоИјУН,20140218,10.8781,
603003.SH,БъУоИјУН,20140219,11.5674,
603003.SH,БъУоИјУН,20140220,12.7261,
603003.SH,БъУоИјУН,20140221,12.1967,
603003.SH,БъУоИјУН,20140224,13.1057,
603003.SH,БъУоИјУН,20140225,11.7971,
603003.SH,БъУоИјУН,20140226,12.3765,
603003.SH,БъУоИјУН,20140227,12.4864,
603003.SH,БъУоИјУН,20140228,12.0768,
603003.SH,БъУоИјУН,20140303,13.2855,
603003.SH,БъУоИјУН,20140304,14.614,
603003.SH,БъУоИјУН,20140305,14.3244,
603003.SH,БъУоИјУН,20140306,14.0447,
603003.SH,БъУоИјУН,20140307,13.6551,
603003.SH,БъУоИјУН,20140310,12.7061,
603003.SH,БъУоИјУН,20140311,12.5363,
603003.SH,БъУоИјУН,20140312,12.1567,
603003.SH,БъУоИјУН,20140313,12.1268,
603003.SH,БъУоИјУН,20140314,12.0269,
603003.SH,БъУоИјУН,20140317,12.3166,
603003.SH,БъУоИјУН,20140318,12.3066,
603003.SH,БъУоИјУН,20140319,12.0568,
603003.SH,БъУоИјУН,20140320,13.2056,
603003.SH,БъУоИјУН,20140321,12.7161,
603003.SH,БъУоИјУН,20140324,12.866,
603003.SH,БъУоИјУН,20140325,12.5363,
603003.SH,БъУоИјУН,20140326,12.2266,
603003.SH,БъУоИјУН,20140327,12.2266,
603003.SH,БъУоИјУН,20140328,11.3376,
603003.SH,БъУоИјУН,20140331,11.3376,
603003.SH,БъУоИјУН,20140401,11.4675,
603003.SH,БъУоИјУН,20140402,11.4875,
603003.SH,БъУоИјУН,20140403,11.7072,
603003.SH,БъУоИјУН,20140404,11.5174,
603003.SH,БъУоИјУН,20140408,11.7572,
603003.SH,БъУоИјУН,20140409,11.8271,
603003.SH,БъУоИјУН,20140410,11.7871,
603003.SH,БъУоИјУН,20140411,12.0269,
603003.SH,БъУоИјУН,20140414,12.7361,
603003.SH,БъУоИјУН,20140415,12.4664,
603003.SH,БъУоИјУН,20140416,12.5863,
603003.SH,БъУоИјУН,20140417,12.7061,
603003.SH,БъУоИјУН,20140418,12.4764,
603003.SH,БъУоИјУН,20140421,11.7572,
603003.SH,БъУоИјУН,20140422,11.4775,
603003.SH,БъУоИјУН,20140423,11.5774,
603003.SH,БъУоИјУН,20140424,11.6573,
603003.SH,БъУоИјУН,20140425,11.6872,
603003.SH,БъУоИјУН,20140428,12.1767,
603003.SH,БъУоИјУН,20140429,11.7871,
603003.SH,БъУоИјУН,20140430,11.5174,
603003.SH,БъУоИјУН,20140505,11.6573,
603003.SH,БъУоИјУН,20140506,11.7372,
603003.SH,БъУоИјУН,20140507,11.3476,
603003.SH,БъУоИјУН,20140508,11.3276,
603003.SH,БъУоИјУН,20140509,11.0579,
603003.SH,БъУоИјУН,20140512,11.2877,
603003.SH,БъУоИјУН,20140513,11.927,
603003.SH,БъУоИјУН,20140514,11.5674,
603003.SH,БъУоИјУН,20140515,11.4675,
603003.SH,БъУоИјУН,20140516,11.4475,
603003.SH,БъУоИјУН,20140519,11.3276,
603003.SH,БъУоИјУН,20140520,11.5074,
603003.SH,БъУоИјУН,20140521,11.5574,
603003.SH,БъУоИјУН,20140522,11.9769,
603003.SH,БъУоИјУН,20140523,11.9969,
603003.SH,БъУоИјУН,20140526,12.1068,
603003.SH,БъУоИјУН,20140527,12.1068,
603003.SH,БъУоИјУН,20140528,12.4864,
603003.SH,БъУоИјУН,20140529,12.1268,
603003.SH,БъУоИјУН,20140530,12.1767,
603003.SH,БъУоИјУН,20140603,12.5063,
603003.SH,БъУоИјУН,20140604,12.776,
603003.SH,БъУоИјУН,20140605,12.846,
603003.SH,БъУоИјУН,20140606,12.5563,
603003.SH,БъУоИјУН,20140609,12.4364,
603003.SH,БъУоИјУН,20140610,12.4464,
603003.SH,БъУоИјУН,20140611,12.4264,
603003.SH,БъУоИјУН,20140612,12.4564,
603003.SH,БъУоИјУН,20140613,12.776,
603003.SH,БъУоИјУН,20140616,12.7561,
603003.SH,БъУоИјУН,20140617,12.3965,
603003.SH,БъУоИјУН,20140618,12.3965,
603003.SH,БъУоИјУН,20140619,11.6073,
603003.SH,БъУоИјУН,20140620,11.6872,
603003.SH,БъУоИјУН,20140623,11.8471,
603003.SH,БъУоИјУН,20140624,11.937,
603003.SH,БъУоИјУН,20140625,11.8471,
603003.SH,БъУоИјУН,20140626,11.9869,
603003.SH,БъУоИјУН,20140627,12.2167,
603003.SH,БъУоИјУН,20140630,12.3166,
603003.SH,БъУоИјУН,20140701,12.1867,
603003.SH,БъУоИјУН,20140702,12.1467,
603003.SH,БъУоИјУН,20140703,12.1068,
603003.SH,БъУоИјУН,20140704,12.2366,
603003.SH,БъУоИјУН,20140707,12.4964,
603003.SH,БъУоИјУН,20140708,12.806,
603003.SH,БъУоИјУН,20140709,12.7161,
603003.SH,БъУоИјУН,20140710,13.0757,
603003.SH,БъУоИјУН,20140711,12.9259,
